Abbreviations,Definitions
MVT11,Number of times attack happened in the last year
MVT12,Place attack happened the last time
MVT13,Number of people involved in committing the offence
MVT14,At least one of the offender(s) recognized at the time of the incident
MVT17,Person(s) had a weapon
MVT18A,"Offender(s) had a knife, a gun or something else used as a weapon: A knife"
MVT18B,"Offender(s) had a knife, a gun or something else used as a weapon: A gun"
MVT18X,"Offender(s) had a knife, a gun or something else used as a weapon: Other weapon"
MVT18NR,"Offender(s) had a knife, a gun or something else used as a weapon: No response"
MVT19,Incident reported to the police
MVT20,Feeling safe walking alone in neighbourhood after dark
MVT21,Feeling safe at home alone after dark
MVT22A,"In the past 12 months, felt discriminated: Ethnic or immigration origin"
MVT22B,"In the past 12 months, felt discriminated: Gender"
MVT22C,"In the past 12 months, felt discriminated: Sexual orientation"
MVT22D,"In the past 12 months, felt discriminated: Age"
MVT22E,"In the past 12 months, felt discriminated: Religion or belief"
MVT22F,"In the past 12 months, felt discriminated: Disability"
MVT22G,"In the past 12 months, felt discriminated: Marital status"
MVT22I,"In the past 12 months, felt discriminated: Political Affiliation"
MVT22J,"In the past 12 months, felt discriminated: Born out of wedlock"
MVT22X,"In the past 12 months, felt discriminated: any other reason"
MMA1,Currently married or living with a woman
MMA3,Other wifes or live-in partners
MMA4,Number of wifes or live-in partners
MMA5,Ever married or lived with a woman
MMA6,Marital status
MMA7,Married or lived with a woman once or more than once
MMA8M,Month of first union
MMA8Y,Year of first union
MMA11,Age at first union
MAF2,Use glasses or contact lenses
MAF3,Use hearing aid
MAF6,"Difficulty seeing, even if wearing glasses or contact lenses"
MAF8,"Difficulty hearing, even if using a hearing aid"
MAF9,Difficulty walking or climbing steps
MAF10,Difficulty remembering or concentrating
MAF11,"Difficulty with self-care, such as washing all over or dressing"
MAF12,Difficulty communicating
MSB1,Age at first sexual intercourse
MSB2U,Time since last sexual intercourse - unit
MSB2N,Time since last sexual intercourse - number
MHA1,Ever heard of HIV or AIDS
MHA24,Ever been tested for HIV
MHA25,Most recent time of testing for HIV
MHA26,Received results of HIV test
MHA27,Place to get tested
MHA28,Heard of test kits
MHA29,Ever tested self
MHA30,Buy fresh vegetebles from shopkeeper
MHA31,Children with HIV allowed to attend school
MHA32,Hesitate to take HIV test
MHA33,People talk badly about peoplewith HIV
MHA34,Lose respect of other people
MHA35,Ashamed if someone in family has HIV
MHA36,Fear of getting HIV
MLS1,Estimation of overall happiness
MLS2,Satisfaction with ladder step
MLS3,Life satisfaction in comparison with last year
MLS4,Life satisfaction expectation one year from now
HH3,Interviewer number
HH4,Supervisor number
HH6,Area
HH7,Province
MWDOI,Date of interview man (CMC)
MWAGE,Age
MWDOB,Date of birth of man (CMC)
MWDOM,Date of marriage of man (CMC)
MWAGEM,Age at first marriage/union of man
MMSTATUS,Marital/Union status of man
mwelevel,Education
minsurance,Health insurance
mdisability,Functional difficulties (age 18-49 years)
religion,Religion of household head
mnweight,Men's sample weight
wscore,Combined wealth score
windex5,Wealth index quintile
windex10,Percentile Group of com1
wscoreu,Urban wealth score
windex5u,Urban wealth index quintile
windex10u,Percentile Group of urb1
wscorer,Rural wealth score
windex5r,Rural wealth index quintile
windex10r,Percentile Group of rur1
psu,Primary sampling unit
stratum,Stratum for sampling errors calculation
